,4.20%,10.30%,13%,"15,1,%",20.40%,25.60%,30.20%,35%,40%,45.40%,49.80%,59.60%,,Very Tight,Tight,Normal,Loose,Very Loose
K5o,0.2428,0.3006,0.3094,0.3254,0.3579,0.3641,0.3849,0.3951,0.4069,0.4196,0.4328,0.4592,,0.2428,0.2949,0.3197,0.3395,0.4096
J9o,0.2562,0.307,0.3116,0.3152,0.3311,0.3522,0.3695,0.3859,0.397,0.4175,0.427,0.4501,,0.2562,0.3196,0.355,0.3698,0.3931
K2s,0.2708,0.3276,0.3366,0.3523,0.385,0.3889,0.4113,0.4185,0.4268,0.4369,0.4471,0.4669,,0.2708,0.3221,0.3352,0.3539,0.4206
Q5s,0.2812,0.3127,0.3327,0.3359,0.3582,0.3698,0.3821,0.3929,0.4008,0.4161,0.4234,0.4446,,0.2812,0.3207,0.3495,0.3642,0.3925
T8s,0.2825,0.34,0.3424,0.3448,0.3557,0.3695,0.3786,0.3919,0.3954,0.4127,0.419,0.4435,,0.2825,0.3434,0.3786,0.3986,0.4042
K4o,0.2388,0.2971,0.3061,0.3225,0.3547,0.3603,0.3831,0.3888,0.3999,0.413,0.4252,0.4487,,0.2388,0.2916,0.3137,0.332,0.4004
J7s,0.278,0.3153,0.324,0.3259,0.346,0.3578,0.371,0.3856,0.3876,0.4073,0.4123,0.4382,,0.278,0.3262,0.3638,0.3767,0.3905
Q4s,0.2776,0.3093,0.3296,0.333,0.3551,0.3664,0.3819,0.388,0.3946,0.4101,0.4186,0.4371,,0.2776,0.3177,0.3438,0.3571,0.3866
Q7o,0.2396,0.2717,0.2927,0.2934,0.3247,0.334,0.3535,0.369,0.3748,0.3931,0.4052,0.4332,,0.2396,0.2875,0.3213,0.3361,0.3678
T9o,0.2521,0.3174,0.3187,0.3207,0.3275,0.3491,0.3567,0.3748,0.3835,0.4045,0.4099,0.4347,,0.2521,0.3204,0.3613,0.3786,0.3887
J8o,0.2488,0.2947,0.2987,0.303,0.3213,0.3368,0.3517,0.3651,0.3704,0.3929,0.4031,0.428,,0.2488,0.3069,0.3383,0.3564,0.3717
K3o,0.2349,0.2934,0.3024,0.319,0.353,0.357,0.3802,0.3874,0.3945,0.408,0.4191,0.4414,,0.2349,0.2879,0.3057,0.3243,0.3936
Q6o,0.2432,0.2754,0.296,0.2989,0.3236,0.3369,0.355,0.364,0.3721,0.3886,0.3982,0.4219,,0.2432,0.284,0.3197,0.335,0.3633
Q3s,0.2742,0.3057,0.3261,0.3294,0.3531,0.3631,0.379,0.3869,0.3901,0.4056,0.413,0.4307,,0.2742,0.3143,0.3364,0.3499,0.3805
98s,0.2731,0.3452,0.3528,0.3596,0.3664,0.3738,0.3759,0.3889,0.3939,0.4038,0.4115,0.4323,,0.2731,0.3509,0.3803,0.405,0.4061
T7s,0.2744,0.3244,0.3301,0.331,0.3442,0.3561,0.3645,0.3786,0.3833,0.3979,0.4002,0.4235,,0.2744,0.3265,0.3693,0.3849,0.3899
J6s,0.269,0.3067,0.3151,0.3194,0.334,0.3494,0.3632,0.3713,0.376,0.3924,0.3977,0.4197,,0.269,0.3101,0.3495,0.3633,0.3791
K2o,0.2306,0.2894,0.2986,0.3152,0.3498,0.3535,0.3771,0.3844,0.393,0.4036,0.4144,0.4355,,0.2306,0.2839,0.2976,0.3164,0.3868
22,0.3005,0.3913,0.4147,0.4268,0.4379,0.4472,0.4553,0.4633,0.4662,0.4713,0.4725,0.4787,,0.3005,0.3709,0.3949,0.4436,0.4727
Q2s,0.2704,0.3018,0.3225,0.3257,0.3498,0.3596,0.3758,0.3845,0.3888,0.4017,0.4086,0.4266,,0.2704,0.3106,0.3289,0.3426,0.3743
Q5o,0.2422,0.2748,0.2954,0.2985,0.3221,0.334,0.3469,0.3579,0.3662,0.3823,0.3901,0.4127,,0.2422,0.283,0.3133,0.328,0.3575
J5s,0.2708,0.3084,0.3168,0.3212,0.335,0.3491,0.3578,0.3689,0.374,0.3907,0.3935,0.4153,,0.2708,0.3117,0.3462,0.3591,0.3773
T8o,0.245,0.3044,0.3064,0.3085,0.3199,0.334,0.3435,0.3578,0.3614,0.3801,0.3866,0.4126,,0.245,0.3078,0.345,0.3651,0.3703
J7o,0.2398,0.2779,0.2866,0.2881,0.3094,0.3217,0.3355,0.3507,0.3528,0.3736,0.3791,0.4063,,0.2398,0.2892,0.3286,0.3414,0.3556
Q4o,0.2383,0.2711,0.2921,0.2954,0.3187,0.3304,0.3467,0.3528,0.3596,0.3758,0.3848,0.4043,,0.2383,0.2798,0.3073,0.3204,0.3511
97s,0.2694,0.3317,0.3425,0.3475,0.3561,0.3639,0.364,0.3768,0.383,0.3925,0.396,0.4134,,0.2694,0.3362,0.3721,0.392,0.3943
J4s,0.2673,0.3051,0.3137,0.3183,0.3318,0.3459,0.3581,0.3651,0.3682,0.3852,0.3892,0.4095,,0.2673,0.3087,0.3406,0.3521,0.3714
T6s,0.2653,0.3154,0.3206,0.3232,0.3315,0.3473,0.3565,0.3652,0.3723,0.3832,0.3886,0.4074,,0.2653,0.3101,0.3549,0.3711,0.3785
J3s,0.2639,0.3015,0.3101,0.3146,0.3298,0.3424,0.355,0.3641,0.3644,0.3808,0.3837,0.4032,,0.2639,0.3053,0.3333,0.3449,0.3652
Q3o,0.2346,0.2672,0.2883,0.2915,0.3167,0.3269,0.3436,0.3516,0.3549,0.3709,0.3786,0.3974,,0.2346,0.276,0.2993,0.3126,0.3445
98o,0.2352,0.3103,0.3177,0.3244,0.3313,0.339,0.3407,0.3547,0.3599,0.3707,0.3788,0.4008,,0.2352,0.3156,0.3467,0.3718,0.3725
87s,0.2776,0.3373,0.3487,0.3545,0.3677,0.3717,0.3764,0.3834,0.3861,0.3925,0.3968,0.4093,,0.2776,0.3419,0.3754,0.399,0.4015
T7o,0.2364,0.2878,0.2934,0.2939,0.3079,0.3204,0.3289,0.3435,0.3484,0.3638,0.3663,0.3911,,0.2364,0.2899,0.3348,0.3505,0.3553
J6o,0.2302,0.2688,0.2773,0.2815,0.2965,0.3126,0.3271,0.3355,0.3403,0.3577,0.3633,0.3865,,0.2302,0.2721,0.3134,0.3271,0.3434
96s,0.261,0.323,0.3334,0.3399,0.3436,0.3549,0.3561,0.3645,0.373,0.3782,0.3848,0.3997,,0.261,0.3206,0.3582,0.3787,0.3831
J2s,0.2601,0.2977,0.3064,0.3108,0.3262,0.3387,0.3515,0.3615,0.3631,0.3773,0.3795,0.3992,,0.2601,0.3016,0.3259,0.3375,0.3589
Q2o,0.2305,0.263,0.2843,0.2875,0.313,0.323,0.34,0.349,0.3534,0.3669,0.374,0.3928,,0.2305,0.272,0.2912,0.3047,0.3378
T5s,0.2537,0.3047,0.3101,0.3126,0.3207,0.3348,0.3391,0.3509,0.3584,0.3707,0.3733,0.3915,,0.2537,0.2993,0.3388,0.3541,0.3644
J5o,0.2322,0.2707,0.2792,0.2834,0.2978,0.3125,0.3216,0.3331,0.3383,0.3559,0.3587,0.3818,,0.2322,0.2741,0.31,0.3228,0.3416
T4s,0.2531,0.3042,0.3096,0.3121,0.3197,0.3341,0.342,0.3496,0.3551,0.3676,0.3719,0.3884,,0.2531,0.2988,0.336,0.3499,0.3611
97o,0.2314,0.2961,0.3069,0.3116,0.3205,0.3288,0.3286,0.3417,0.3482,0.3582,0.362,0.3806,,0.2314,0.3001,0.3379,0.3581,0.3601
86s,0.2705,0.3298,0.3405,0.3478,0.3562,0.3635,0.3689,0.3723,0.3772,0.3789,0.3862,0.3979,,0.2705,0.3269,0.3622,0.3863,0.3909
J4o,0.2284,0.2672,0.2758,0.2802,0.2943,0.3091,0.3218,0.3291,0.3321,0.3499,0.3539,0.3753,,0.2284,0.2708,0.3041,0.3152,0.3352
T6o,0.2268,0.2784,0.2834,0.2858,0.2943,0.3109,0.3203,0.3295,0.3368,0.3481,0.3539,0.3737,,0.2268,0.2725,0.3196,0.3358,0.3431
95s,0.2494,0.3125,0.3228,0.3293,0.3322,0.342,0.3385,0.35,0.3588,0.3663,0.3702,0.3843,,0.2494,0.3094,0.342,0.3619,0.3688
T3s,0.2497,0.3007,0.306,0.3086,0.3177,0.3306,0.3389,0.3487,0.3514,0.3633,0.367,0.3823,,0.2497,0.2953,0.3287,0.3427,0.3549
76s,0.2833,0.3337,0.3472,0.3529,0.3636,0.3708,0.3764,0.3796,0.3851,0.387,0.3909,0.3992,,0.2833,0.33,0.3711,0.3915,0.3976
J3o,0.2247,0.2633,0.2719,0.2763,0.2922,0.3053,0.3185,0.3279,0.3281,0.3452,0.3482,0.3685,,0.2247,0.2671,0.2963,0.3074,0.3286
87o,0.2406,0.3023,0.3137,0.3193,0.3332,0.3371,0.3417,0.3488,0.3515,0.3584,0.363,0.3764,,0.2406,0.3066,0.3416,0.3657,0.3678
T2s,0.2459,0.297,0.3023,0.3048,0.314,0.3268,0.3353,0.3461,0.3501,0.3598,0.3627,0.3784,,0.2459,0.2916,0.3213,0.3354,0.3485
85s,0.2602,0.3196,0.3302,0.3378,0.345,0.3507,0.3519,0.3581,0.3633,0.3677,0.3723,0.3827,,0.2602,0.3155,0.346,0.3698,0.3767
96o,0.2224,0.2869,0.2973,0.3037,0.3072,0.3192,0.3201,0.3289,0.3377,0.3429,0.3499,0.3657,,0.2224,0.2836,0.3231,0.3438,0.3481
J2o,0.2205,0.2592,0.2678,0.2721,0.2883,0.3013,0.3147,0.3251,0.3265,0.3415,0.3436,0.364,,0.2205,0.2631,0.2883,0.2995,0.3217
T5o,0.2145,0.2671,0.2722,0.2746,0.2829,0.2978,0.302,0.3143,0.322,0.3349,0.3377,0.3568,,0.2145,0.2612,0.3025,0.3177,0.3281
94s,0.2344,0.2992,0.3096,0.3162,0.3187,0.3286,0.329,0.3362,0.3429,0.3509,0.3563,0.3693,,0.2344,0.2963,0.3263,0.3447,0.3525
75s,0.2733,0.3243,0.3378,0.3441,0.3532,0.3587,0.3601,0.3661,0.3717,0.3766,0.378,0.3845,,0.2733,0.319,0.3553,0.3756,0.3837
T4o,0.2138,0.2665,0.2716,0.274,0.2818,0.2971,0.305,0.313,0.3185,0.3316,0.336,0.3533,,0.2138,0.2606,0.2996,0.3132,0.3245
93s,0.2342,0.2987,0.309,0.3157,0.3195,0.3278,0.3283,0.3378,0.3418,0.3491,0.354,0.3658,,0.2342,0.2959,0.3218,0.3405,0.3491
86o,0.2332,0.2945,0.3051,0.3123,0.321,0.3283,0.3338,0.3375,0.3424,0.3438,0.3516,0.3639,,0.2332,0.2907,0.3276,0.3521,0.3565
65s,0.2865,0.3337,0.3469,0.3544,0.3604,0.3689,0.371,0.3748,0.3818,0.3831,0.386,0.3918,,0.2865,0.324,0.3617,0.3823,0.3918
84s,0.246,0.3064,0.3171,0.3247,0.3316,0.3372,0.3417,0.344,0.3471,0.352,0.3582,0.3681,,0.246,0.3024,0.33,0.3528,0.3604
95o,0.2102,0.2757,0.286,0.2925,0.2952,0.3055,0.3015,0.3135,0.3227,0.3304,0.3345,0.3492,,0.2102,0.2719,0.3059,0.326,0.3329
T3o,0.2101,0.2627,0.2678,0.2701,0.2797,0.2933,0.3017,0.3119,0.3146,0.3269,0.3308,0.3466,,0.2101,0.2568,0.2918,0.3055,0.3179
92s,0.2303,0.295,0.3054,0.3121,0.3159,0.3241,0.3247,0.3352,0.3405,0.3456,0.3498,0.3624,,0.2303,0.2922,0.3143,0.3333,0.3427
76o,0.2467,0.2987,0.3125,0.3179,0.329,0.3364,0.342,0.3453,0.3509,0.3525,0.3566,0.3655,,0.2467,0.2942,0.337,0.3578,0.3638
74s,0.2592,0.3113,0.3249,0.3312,0.3402,0.3452,0.3498,0.3522,0.3557,0.3611,0.3639,0.3703,,0.2592,0.3062,0.3394,0.3585,0.3676
T2o,0.2059,0.2586,0.2637,0.266,0.2758,0.2892,0.2977,0.3091,0.313,0.3232,0.3262,0.3425,,0.2059,0.2528,0.2838,0.2976,0.3109
54s,0.2857,0.3343,0.3477,0.3553,0.3586,0.3658,0.3676,0.37,0.3755,0.3797,0.3816,0.3858,,0.2857,0.3215,0.3527,0.3724,0.3848
85o,0.2222,0.2836,0.2943,0.3017,0.3092,0.3149,0.3158,0.3223,0.3277,0.3322,0.337,0.3477,,0.2222,0.2787,0.3104,0.3347,0.3414
64s,0.2727,0.3215,0.335,0.3425,0.3485,0.3561,0.3612,0.3614,0.3665,0.3681,0.3724,0.3783,,0.2727,0.3118,0.346,0.3655,0.3761
83s,0.2309,0.2927,0.3035,0.3112,0.3195,0.3236,0.3284,0.3329,0.3331,0.3376,0.3432,0.352,,0.2309,0.2889,0.3125,0.3354,0.3438
94o,0.194,0.2616,0.2719,0.2785,0.2808,0.2913,0.2914,0.2989,0.3056,0.314,0.3196,0.3333,,0.194,0.2579,0.2893,0.3076,0.3155
75o,0.2362,0.2888,0.3025,0.3086,0.3181,0.3238,0.3248,0.331,0.3367,0.3418,0.3432,0.3498,,0.2362,0.2827,0.3203,0.3409,0.3491
82s,0.2307,0.2922,0.303,0.3107,0.3191,0.3228,0.3276,0.333,0.3345,0.3367,0.3415,0.3512,,0.2307,0.2884,0.3079,0.3311,0.3402
73s,0.2441,0.2977,0.3113,0.3177,0.3282,0.3316,0.3365,0.3409,0.3417,0.3465,0.3486,0.3541,,0.2441,0.2926,0.322,0.3412,0.351
93o,0.1938,0.261,0.2713,0.2779,0.2816,0.2904,0.2906,0.3005,0.3045,0.312,0.3171,0.3294,,0.1938,0.2573,0.2844,0.3031,0.3117
65o,0.2502,0.299,0.3124,0.3198,0.3258,0.3346,0.3365,0.3405,0.3477,0.3488,0.3516,0.3577,,0.2502,0.2882,0.3272,0.3481,0.3577
53s,0.271,0.3214,0.3348,0.3424,0.3474,0.353,0.3552,0.3596,0.362,0.3657,0.367,0.3705,,0.271,0.3088,0.3355,0.3551,0.3689
63s,0.2577,0.3083,0.3218,0.3294,0.3365,0.3427,0.3482,0.3501,0.3525,0.3536,0.3572,0.3622,,0.2577,0.2984,0.3286,0.3481,0.3598
84o,0.2071,0.2695,0.2802,0.2877,0.2949,0.3005,0.3049,0.3074,0.3103,0.3154,0.3219,0.3322,,0.2071,0.2648,0.2934,0.3164,0.3239
92o,0.1896,0.257,0.2674,0.274,0.2778,0.2864,0.2866,0.2976,0.303,0.3083,0.3126,0.3257,,0.1896,0.2534,0.2764,0.2952,0.3048
